"SP500.price","NK225.price"
1465.15,18956.55
1441.36,18878.09
1360.16,19434.78
1424.37,19763.13
1387.12,19710.02
1346.09,19789.03
1333.36,19817.88
1409.17,19927.54
1395.07,19750.4
1464.47,19566.32
1527.46,19958.08
1498.58,20337.32
1516.35,20252.81
1356.56,20434.68
1434.54,18252.68
1452.43,17973.7
1432.63,18439.36
1420.96,17357.86
1406.95,16858.17
1378.02,16008.14
1477.26,16800.06
1456.95,16861.91
1464.46,16318.31
1441.48,16963.21
1454.6,17411.05
1478.9,17398.24
1509.98,17142.9
1480.19,16811.49
1419.89,15838.57
1462.93,15667.36
1471.84,16117.5
1491.72,16280.49
1506.45,16911.33
1520.77,16739.78
1494.5,16501.55
1465.81,16213.28
1448.72,15818.25
1436.51,15747.26
1408.99,15994.24
1374.17,15330.31
1396.93,15198.73
1379.58,14582.2
1426.69,14837.78
1365.98,14988.54
1367.72,14544.3
1341.77,14315.35
1315.23,14835.33
1369.89,14696.51
1312.15,14552.29
1305.95,13427.08
1320.28,13785.69
1298.35,13867.61
1318.55,13347.74
1342.54,13989.12
1354.95,13696.06
1349.47,13703.63
1314.76,13422.83
1301.53,13175.49
1245.86,13246
1234.18,12261.8
1233.42,12627.9
1150.53,12232.98
1139.83,13214.54
1160.33,12999.7
1128.43,13383.76
1183.5,13385.72
1242.98,13765.67
1253.05,13934.32
1266.61,14421.64
1245.67,14043.92
1291.96,13877.77
1277.89,13765.92
1260.67,13261.84
1264.96,13430.22
1214.36,12790.38
1225.35,13044.61
1224.38,12969.05
1190.59,12306.08
1215.68,12355.15
1210.85,11908.39
1205.82,11798.08
1214.35,12241.97
1190.16,11735.06
1161.97,11445.54
1184.93,11166.31
1133.58,10713.51
1085.78,10516.79
1092.54,10008.89
965.8,9554.99
1040.94,9774.68
1071.38,10205.87
1091.65,10632.35
1073.48,10538.79
1104.61,10795.16
1087.2,10383.78
1120.31,10215.71
1138.65,10649.09
1150.34,10696.82
1139.45,10697.44
1158.31,10796.89
1123.09,10511.65
1144.89,10335.45
1161.02,10542.62
1172.51,10871.49
1145.6,10441.59
1127.58,10293.32
1133.28,10144.14
1122.2,9791.43
1096.22,9686.06
1104.18,10048.1
1089.84,10356.78
1131.78,10812
1164.31,11885.79
1166.16,11648.01
1148.7,11345.08
1147.39,11024.94
1122.73,11335.49
1111.01,10962.98
1125.17,11512.01
1076.32,11541.39
1073.43,11551.01
1054.99,11531.11
1106.59,11847.32
1083.82,11976.28
1067.14,11763.7
1027.53,11438.53
1007.27,10920.63
989.14,10354.35
989.82,10621.84
989.03,10826.09
921.39,10601.45
847.75,10202.36
852.84,9591.03
864.24,9709.66
908.64,9999.79
928.77,9788.13
940.86,9867.45
916.07,9619.3
893.92,9129.07
889.81,9241.93
845.39,9481.08
827.37,9530.44
800.58,9027.55
835.32,8529.61
884.39,9086.13
897.65,8726.29
900.96,8685.72
894.74,8690.77
909.83,8503.59
930.55,8772.56
936.31,9215.56
912.23,8863.26
889.48,8516.07
895.76,8406.88
875.4,8714.05
908.59,8578.95
927.57,8470.45
901.78,8690.25
861.4,8731.65
855.7,8339.94
829.69,8448.16
834.89,8701.92
848.17,8513.54
841.15,8363.04
828.89,8144.12
833.27,8002.69
895.79,8195.05
863.5,8280.16
878.85,8074.12
868.3,7816.49
893.58,7874.51
898.81,7699.5
930.08,7907.19
933.41,8152.16
944.3,8117.29
933.22,8184.76
963.59,8424.51
987.76,8785.87
988.61,8980.64
995.69,9120.39
976.22,9104.06
985.7,9547.73
998.14,9635.35
993.32,9527.73
998.68,9648.01
980.15,9611.67
977.59,9327.53
990.67,9863.47
993.06,10281.17
1008.01,10343.55
1021.39,10650.77
1018.63,10712.81
1036.3,10938.42
996.85,10318.44
1029.85,10709.29
1038.06,10786.04
1039.32,11037.89
1028.91,10335.7
1050.71,10559.59
1053.21,10628.98
1050.35,10167.06
1035.28,9852.83
1058.2,10100.57
1061.5,10373.46
1074.14,10169.66
1088.66,10284.54
1095.89,10417.41
1108.48,10676.64
1121.86,10965.05
1139.83,10857.2
1141.55,11069.01
1131.13,10783.61
1142.76,10460.92
1145.81,10557.69
1144.11,10720.69
1144.94,11041.92
1156.86,11537.29
1120.57,11162.75
1109.78,11418.51
1108.06,11770.65
1141.81,11815.95
1139.32,11897.51
1134.61,11824.56
1140.6,12120.66
1107.3,11761.79
1098.7,11438.82
1095.7,10849.63
1093.56,11070.25
1120.68,11309.57
1122.5,11128.05
1136.47,11526.82
1135.02,11382.08
1134.43,11780.4
1125.38,11721.49
1112.81,11423.53
1101.39,11436
1086.2,11187.33
1101.72,11325.78
1063.97,10972.57
1064.8,10757.2
1098.35,10889.14
1107.77,11209.59
1113.63,11022.49
1123.92,11083.23
1128.55,11082.49
1110.11,10895.16
1131.5,10985.17
1122.14,11349.35
1108.2,10982.95
1095.74,10857.13
1130.2,10771.42
1166.17,11061.77
1184.17,11019.98
1170.34,11082.84
1182.65,10833.75
1191.17,11074.89
1188,10756.8
1194.2,11078.32
1210.13,11365.48
1211.92,11488.76
1186.19,11433.24
1184.52,11438.39
1167.87,11238.37
1171.36,11320.58
1203.03,11360.4
1205.3,11553.56
1201.59,11660.12
1211.37,11658.25
1222.12,11873.05
1200.08,11923.89
1189.65,11879.81
1171.42,11761.1
1172.92,11723.63
1181.2,11874.75
1142.62,11370.69
1152.12,11045.95
1156.85,11008.9
1171.35,11192.17
1154.05,11049.11
1189.28,11037.29
1198.78,11192.33
