Date,Price,Open,High,Low,Vol.,Change %
30/12/2018,19561.96 ,"19,655.13","19,692.58","19,241.37",943.71M,-2.26%
23/12/2018,20014.77 ,"19,785.43","20,211.57","18,948.58",3.49B,-0.75%
16/12/2018,20166.19 ,"21,391.73","21,563.27","20,006.67",4.52B,-5.65%
09/12/2018,21374.83 ,"21,319.47","21,871.34","21,062.31",4.52B,-1.40%
02/12/2018,21678.68 ,"22,629.39","22,698.79","21,307.72",4.22B,-3.01%
25/11/2018,22351.06 ,"21,647.69","22,437.95","21,622.60",4.15B,3.25%
18/11/2018,21646.55 ,"21,679.03","21,852.92","21,243.38",3.07B,-0.16%
11/11/2018,21680.34 ,"22,121.70","22,324.01","21,484.65",3.88B,-2.56%
04/11/2018,22250.25 ,"22,002.47","22,583.43","21,865.98",4.20B,0.03%
28/10/2018,22243.66 ,"21,323.61","22,308.42","21,035.88",5.12B,5.00%
21/10/2018,21184.60 ,"22,374.21","22,672.25","20,971.93",4.26B,-5.98%
14/10/2018,22532.08 ,"22,501.33","22,959.41","22,212.57",3.65B,-0.72%
07/10/2018,22694.66 ,"23,550.47","23,589.38","22,323.43",3.84B,-4.58%
30/09/2018,23783.72 ,"24,173.37","24,448.07","23,730.19",4.03B,-1.39%
23/09/2018,24120.04 ,"23,881.85","24,286.10","23,778.04",3.63B,1.05%
16/09/2018,23869.93 ,"23,042.19","23,971.41","23,039.26",4.19B,3.36%
09/09/2018,23094.67 ,"22,253.65","23,105.28","22,249.61",4.02B,3.53%
02/09/2018,22307.06 ,"22,819.17","22,820.48","22,172.90",3.09B,-2.44%
26/08/2018,22865.15 ,"22,693.69","23,032.17","22,678.03",3.21B,1.17%
19/08/2018,22601.77 ,"22,267.07","22,602.24","22,053.14",2.67B,1.49%
12/08/2018,22270.38 ,"22,117.57","22,380.28","21,851.32",3.43B,-0.12%
05/08/2018,22298.08 ,"22,536.05","22,800.61","22,272.69",3.56B,-1.01%
29/07/2018,22525.18 ,"22,613.30","22,775.47","22,352.21",4.73B,-0.83%
22/07/2018,22712.75 ,"22,480.33","22,717.15","22,341.87",3.71B,0.07%
15/07/2018,22697.88 ,"22,605.73","22,949.32","22,541.35",2.73B,0.44%
08/07/2018,22597.35 ,"21,838.53","22,692.86","21,744.25",3.75B,3.71%
01/07/2018,21788.14 ,"22,233.80","22,312.25","21,462.95",3.55B,-2.32%
24/06/2018,22304.51 ,"22,543.56","22,556.55","22,038.40",3.46B,-0.94%
17/06/2018,22516.83 ,"22,806.57","22,806.89","22,167.16",4.07B,-1.47%
10/06/2018,22851.75 ,"22,686.95","23,011.57","22,667.30",3.48B,0.69%
03/06/2018,22694.50 ,"22,365.09","22,879.00","22,355.83",3.74B,2.36%
27/05/2018,22171.35 ,"22,488.95","22,547.67","21,931.65",4.31B,-1.24%
20/05/2018,22450.79 ,"22,937.58","23,050.39","22,318.15",3.60B,-2.09%
13/05/2018,22930.36 ,"22,705.30","22,954.19","22,683.64",3.88B,0.76%
06/05/2018,22758.48 ,"22,513.22","22,769.16","22,350.91",3.98B,1.27%
29/04/2018,22472.78 ,"22,453.42","22,568.19","22,411.43",1.66B,0.02%
22/04/2018,22467.87 ,"22,157.88","22,495.56","22,065.52",3.88B,1.38%
15/04/2018,22162.24 ,"21,843.55","22,360.65","21,772.42",3.41B,1.76%
08/04/2018,21778.74 ,"21,534.33","21,933.99","21,517.77",3.48B,0.98%
01/04/2018,21567.52 ,"21,441.57","21,742.84","21,056.02",3.53B,0.53%
